* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 2:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_b_135_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
211.631 91.924 -108.855
211.967 92.151 -111.533
212.304 92.372 -114.202
212.640 92.585 -116.866
212.977 92.788 -119.526
213.313 92.982 -122.181
213.650 93.166 -124.828
213.986 93.339 -127.464
214.323 93.501 -130.085
214.659 93.651 -132.687
214.996 93.790 -135.263
215.332 93.919 -137.811
215.668 94.036 -140.323
216.005 94.143 -142.797
216.341 94.240 -145.227
216.678 94.328 -147.609
217.014 94.406 -149.941
217.351 94.477 -152.219
217.687 94.540 -154.441
218.024 94.596 -156.605
218.360 94.646 -158.712
218.697 94.690 -160.761
219.033 94.730 -162.753
219.370 94.767 -164.688
219.706 94.800 -166.568
220.042 94.831 -168.395
220.379 94.860 -170.171
220.715 94.888 -171.899
221.052 94.916 -173.583
221.388 94.944 -175.226
221.725 94.974 -176.832
222.061 95.004 -178.406
222.398 95.037 -179.955
222.734 95.071 178.518
223.071 95.108 177.006
223.407 95.146 175.505
223.743 95.187 174.010
224.080 95.229 172.516
224.416 95.274 171.021
224.753 95.319 169.520
225.089 95.366 168.013
225.426 95.413 166.496
225.762 95.462 164.967
226.099 95.512 163.425
226.435 95.562 161.867
226.772 95.613 160.290
227.108 95.665 158.690
227.444 95.717 157.063
227.781 95.770 155.405
228.117 95.823 153.709
228.454 95.875 151.972
228.790 95.926 150.185
229.127 95.976 148.345
229.463 96.022 146.447
229.800 96.064 144.486
230.136 96.101 142.460
230.473 96.132 140.368
230.809 96.154 138.209
231.145 96.167 135.985
231.482 96.169 133.699
231.818 96.159 131.357
232.155 96.136 128.966
232.491 96.098 126.534
232.828 96.046 124.069
233.164 95.978 121.581
233.501 95.894 119.081
233.837 95.794 116.579
234.174 95.676 114.083
234.510 95.543 111.605
234.846 95.393 109.151
235.183 95.226 106.729
235.519 95.044 104.347
235.856 94.846 102.008
236.192 94.633 99.718
236.529 94.405 97.481
236.865 94.162 95.301
237.202 93.904 93.181
237.538 93.631 91.125
237.875 93.344 89.136
238.211 93.043 87.220
238.548 92.726 85.382
238.884 92.395 83.629
239.220 92.049 81.970
239.557 91.687 80.413
239.893 91.309 78.970
240.230 90.915 77.656
240.566 90.504 76.484
240.903 90.076 75.472
241.239 89.632 74.638
241.576 89.171 74.000
241.912 88.693 73.579
242.249 88.200 73.392
242.585 87.691 73.459
242.921 87.169 73.797
243.258 86.634 74.420
243.594 86.090 75.339
243.931 85.539 76.563
244.267 84.985 78.093
244.604 84.432 79.927
244.940 83.885 82.055
245.277 83.352 84.462
245.613 82.839 87.126
245.950 82.354 90.020
246.286 81.906 93.110
246.622 81.502 96.361
246.959 81.151 99.734
247.295 80.858 103.188
247.632 80.627 106.683
247.968 80.461 110.182
248.305 80.357 113.652
248.641 80.315 117.062
248.978 80.329 120.388
249.314 80.394 123.607
249.651 80.503 126.707
249.987 80.652 129.674
250.323 80.834 132.501
250.660 81.046 135.182
250.996 81.282 137.713
251.333 81.540 140.092
251.669 81.816 142.316
252.006 82.108 144.383
252.342 82.412 146.291
252.679 82.727 148.037
253.015 83.050 149.618
253.352 83.377 151.033
253.688 83.708 152.281
254.025 84.040 153.359
254.361 84.371 154.270
254.697 84.697 155.014
255.034 85.019 155.595
255.370 85.333 156.019
255.707 85.638 156.292
256.043 85.933 156.424
256.380 86.217 156.426
256.716 86.489 156.309
257.053 86.749 156.086
257.389 86.996 155.772
257.726 87.231 155.380
258.062 87.453 154.925
258.398 87.664 154.421
258.735 87.863 153.882
259.071 88.053 153.319
259.408 88.233 152.743
259.744 88.406 152.166
260.081 88.572 151.593
260.417 88.734 151.032
260.754 88.893 150.485
261.090 89.049 149.954
261.427 89.205 149.439
261.763 89.363 148.937
262.099 89.522 148.443
262.436 89.684 147.951
262.772 89.849 147.454
263.109 90.018 146.944
263.445 90.190 146.411
263.782 90.365 145.847
264.118 90.542 145.243
264.455 90.721 144.593
264.791 90.901 143.888
265.128 91.081 143.124
265.464 91.258 142.296
265.800 91.433 141.401
266.137 91.605 140.438
266.473 91.771 139.406
266.810 91.932 138.306
267.146 92.086 137.140
267.483 92.232 135.912
267.819 92.370 134.625
268.156 92.500 133.284
268.492 92.620 131.894
268.829 92.732 130.460
269.165 92.833 128.987
269.501 92.925 127.481
269.838 93.007 125.946
270.174 93.079 124.388
270.511 93.142 122.810
270.847 93.195 121.217
271.184 93.239 119.612
271.520 93.274 117.999
271.857 93.299 116.381
272.193 93.315 114.760
272.530 93.322 113.138
272.866 93.321 111.517
273.203 93.311 109.900
273.539 93.292 108.287
273.875 93.265 106.679
274.212 93.229 105.079
274.548 93.185 103.486
274.885 93.132 101.901
275.221 93.070 100.327
275.558 93.000 98.764
275.894 92.920 97.214
276.231 92.831 95.681
276.567 92.732 94.168
276.904 92.623 92.678
277.240 92.503 91.219
277.576 92.371 89.798
277.913 92.228 88.421
278.249 92.073 87.100
278.586 91.906 85.846
278.922 91.726 84.671
279.259 91.533 83.588
279.595 91.327 82.613
279.932 91.109 81.760
280.268 90.879 81.043
